                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4116,                  2.815,                 1.7548,                0.61343,                0.88257,                 0.8879,                 0.6156,                 1.3926,                 1.3292,                 1.2503,                      0,                      0,                      0
                      2,                 1.2487,                 2.6208,                 1.4408,                0.59672,                0.89736,                0.88811,                0.61799,                 1.4046,                 1.3533,                 1.2565,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1416,                 4.2177,                 1.4952,                0.57906,                0.83333,                0.87397,                0.61303,                 1.4193,                 1.3854,                 1.2631,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                  1.266,                 2.6681,                 1.4492,                0.54577,                0.85518,                0.87205,                0.60506,                 1.4537,                 1.4202,                 1.2788,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3365,                 2.8559,                 1.6306,                0.56995,                0.83333,                0.87216,                0.59728,                 1.4799,                  1.454,                 1.2952,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.6314,                 4.7085,                 1.9234,                0.85308,                0.57292,                0.87404,                0.58056,                  1.491,                 1.5091,                 1.3101,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                  1.391,                 2.0815,                 1.5495,                0.83811,                0.56667,                0.88594,                0.57715,                 1.5052,                 1.5496,                 1.3206,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5171,                 3.1413,                 1.7832,                0.83521,                0.56667,                0.88234,                 0.5469,                 1.5182,                 1.6305,                 1.3419,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0736,                 2.5904,                 1.3544,                0.81788,                0.56667,                0.77945,                 0.5384,                 1.5434,                 1.6939,                 1.3605,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.97614,                 3.3389,                 1.4913,                0.79564,                0.56667,                0.74397,                0.53444,                 1.5546,                 1.7402,                 1.3765,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.3531,                 2.7431,                  1.537,                0.79587,                0.58333,                0.74426,                 0.5345,                 1.5538,                 1.7515,                 1.3763,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0351,                 2.0478,                 1.3947,                0.77386,                0.58333,                0.74434,                0.53466,                 1.5524,                 1.7695,                 1.3751,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.96673,                 2.5655,                 1.2299,                0.74727,                0.58333,                0.74415,                0.53464,                 1.5238,                 1.7837,                  1.359,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.3797,                 2.4207,                 1.7914,                0.76665,                0.58333,                0.74312,                0.52637,                 1.5119,                 1.8137,                  1.354,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.81763,                 1.6948,                 1.1197,                 0.7899,                0.41667,                0.74164,                0.53949,                 1.5066,                 1.8301,                 1.3477,             1.4351e-05,             1.4351e-05,             1.4351e-05
